evohdcg_cg_history,evohdcg_hd_history,evohdcg_hdcg_history
47520,73294,120814
48254,74374,122628
76070,136368,212438
76634,137370,214004
76582,137009,213591
76523,137561,214084
76474,137316,213790
76699,137308,214007
76666,137321,213987
77724,140423,218147
77772,140564,218336
77690,140826,218516
77887,140864,218751
77970,140790,218760
77877,140818,218695
77849,140874,218723
77884,140793,218677
77897,140628,218525
77865,140714,218579
78047,140667,218714
77758,140875,218633
77777,140707,218484
77823,140966,218789
77975,140660,218635
77890,140629,218519
77924,140826,218750
77812,140715,218527
77834,140841,218675
77840,140591,218431
77958,140795,218753
77950,140548,218498
77801,140759,218560
77844,140761,218605
77781,140764,218545
77812,140697,218509
77821,140728,218549
77882,140741,218623
77895,140859,218754
77926,140637,218563
77854,140762,218616
78000,140935,218935
77909,140807,218716
77758,141032,218790
77857,140895,218752
77979,140688,218667
77918,140732,218650
77676,140828,218504
77857,140752,218609
78072,140624,218696
77928,140773,218701
77827,140844,218671
77920,140927,218847
77758,140811,218569
78061,140970,219031
77855,140889,218744
77887,140802,218689
77773,140902,218675
77922,140628,218550
77875,140921,218796
77877,140666,218543
77804,140853,218657
77857,140833,218690
77148,143076,220224
77149,143086,220235
77286,143141,220427
77210,143188,220398
77120,142901,220021
77401,142869,220270
77316,143110,220426
77213,143120,220333
77400,142980,220380
77384,143252,220636
77351,143089,220440
77257,143200,220457
77301,143062,220363
77662,143440,221102
77766,143183,220949
77552,143299,220851
79944,142540,222484
80101,142428,222529
79954,142668,222622
80184,142600,222784
79984,142550,222534
80188,142382,222570
80021,142537,222558
80071,142496,222567
79980,142673,222653
80071,142514,222585
80135,142480,222615
80058,142631,222689
80061,142608,222669
80060,142627,222687
80191,142640,222831
80012,142700,222712
80003,142645,222648
79947,142719,222666
80053,142578,222631
79901,142582,222483
80053,142460,222513
79932,142640,222572
