evohd_cg_history,evohd_hd_history,evohd_hdcg_history
76333,137087,213420
75911,136285,212196
76052,137159,213211
76222,137599,213821
76335,137605,213940
76461,137480,213941
76129,137234,213363
76394,137833,214227
76371,137630,214001
76543,137732,214275
76370,137660,214030
76157,136909,213066
76549,137542,214091
76138,137169,213307
76424,137197,213621
76095,137382,213477
76234,137284,213518
76507,138078,214585
76629,137753,214382
76417,137762,214179
76430,137347,213777
76719,137692,214411
77798,140692,218490
77582,140666,218248
77584,140291,217875
77671,140283,217954
77621,140254,217875
77611,140353,217964
77690,140361,218051
77555,140568,218123
78412,141110,219522
78378,141241,219619
78342,141207,219549
78531,141310,219841
78630,141327,219957
78421,141450,219871
78292,141631,219923
78312,141401,219713
78368,141427,219795
78235,141499,219734
78695,141314,220009
78417,141156,219573
78437,141339,219776
78572,141615,220187
78302,141278,219580
78446,141411,219857
78473,141247,219720
78316,141353,219669
78438,141332,219770
78428,141472,219900
78449,141470,219919
78538,141462,220000
78451,141522,219973
78363,141490,219853
78486,141401,219887
78525,141311,219836
78536,141410,219946
78347,142332,220679
78444,142458,220902
78704,142388,221092
78418,142403,220821
78843,142587,221430
78747,142706,221453
78567,142503,221070
78364,142338,220702
78559,142710,221269
78620,142616,221236
78496,142593,221089
78491,142517,221008
78509,142454,220963
78073,142608,220681
78432,142583,221015
78510,142588,221098
78541,142435,220976
78430,142550,220980
78650,142517,221167
78537,142568,221105
78467,142477,220944
78407,142568,220975
78356,142595,220951
78686,142690,221376
78386,142469,220855
78582,142540,221122
78380,142688,221068
78480,142720,221200
78519,142958,221477
78438,142552,220990
78517,142393,220910
78376,142398,220774
78539,142446,220985
78535,142499,221034
78449,142705,221154
78518,142602,221120
77965,142448,220413
78321,142548,220869
78362,142381,220743
78488,142513,221001
78442,142792,221234
78522,142340,220862
77989,142383,220372
