best_fitness
110035
118276
112595
109632
113968
111060
114183
108629
121978
119127
117835
121765
119658
119075
117465
119541
120196
117736
116064
117692
119254
121608
107304
102546
95811
94636
92750
103383
126128
123548
128402
121447
136109
138136
135602
136872
137839
136883
138701
135347
137444
137731
136878
139546
136721
138378
139736
137601
137154
136223
136222
136884
137842
137678
139140
136555
138241
139233
136507
136664
137791
137300
135403
137056
138632
137248
137899
135120
139114
137814
137702
136269
136529
136989
138466
137461
136908
136580
137589
