best_fitness
114617
116406
112329
111687
114489
112470
107759
107282
118490
111990
115495
112430
115992
111986
116058
117191
116509
113828
115044
113206
111838
115139
113545
112217
113183
115851
116249
116998
118970
119716
112329
117543
121436
117641
120703
119081
123503
120387
119280
111360
119720
121318
120244
120402
119781
117414
119249
116842
114629
123050
120853
118824
121328
121537
121419
119019
121007
124018
126372
123834
121959
126130
125970
124151
123952
123885
124674
120699
123488
122821
123613
122069
121175
129235
125761
91293
69166
118936
123119
121293
123716
