best_fitness
116241
105739
106244
104721
108134
105215
92849
103265
93019
98656
98505
97878
110046
110567
99607
104877
109186
108012
100138
101692
101053
111606
96141
108926
112253
106422
96667
112036
102243
98719
99548
100924
110163
89796
110943
113837
110337
100355
105859
105723
93235
107653
90638
98728
102621
103728
102550
105244
101843
110039
87782
107192
106887
96561
107396
107223
100249
103561
100454
106045
100464
107784
106097
100598
105898
112250
93379
