evohdcg_cg_history,evohdcg_hd_history,evohdcg_hdcg_history
78766,139957,218723
78724,140135,218859
78957,140085,219042
78656,140043,218699
79132,140904,220036
79189,140970,220159
79039,140934,219973
79224,141128,220352
79202,141178,220380
79020,141064,220084
79138,141431,220569
79142,140971,220113
79176,140989,220165
79028,141036,220064
79207,141444,220651
79125,141057,220182
79234,141261,220495
79154,141106,220260
79072,141188,220260
79112,141470,220582
79241,141474,220715
79090,141518,220608
79207,141752,220959
79270,141790,221060
79243,141626,220869
79319,141451,220770
79195,141634,220829
79167,141656,220823
79039,141659,220698
79324,141782,221106
79105,141560,220665
79175,141428,220603
79240,141481,220721
79105,141564,220669
79196,141327,220523
79297,141571,220868
79147,141476,220623
78952,141436,220388
79191,141551,220742
79009,141525,220534
78975,141556,220531
79266,141566,220832
79144,141573,220717
79351,141605,220956
79274,141565,220839
78957,141563,220520
79093,141299,220392
80142,141103,221245
80151,141009,221160
79978,140717,220695
80152,141011,221163
80052,140851,220903
79933,141037,220970
80007,140909,220916
79772,141051,220823
79124,141979,221103
79049,141777,220826
79214,141563,220777
79201,141483,220684
78898,141737,220635
79381,141560,220941
79229,141397,220626
79288,141377,220665
79211,141304,220515
79362,141390,220752
79405,141783,221188
79138,141130,220268
79409,141543,220952
79365,141267,220632
79311,141598,220909
79167,141388,220555
79002,141755,220757
79055,141435,220490
79031,141573,220604
81777,138884,220661
81808,138845,220653
82041,138672,220713
81933,138768,220701
81775,139032,220807
81948,138790,220738
81941,138840,220781
79005,141392,220397
79200,141390,220590
79175,141529,220704
79135,141475,220610
78827,141944,220771
79098,141988,221086
79026,141853,220879
79026,142028,221054
79033,142097,221130
79003,142086,221089
78870,141788,220658
79083,142011,221094
79011,142018,221029
79289,141457,220746
79082,141782,220864
78875,142432,221307
79114,142269,221383
79382,142025,221407
78950,142021,220971
