evohdcg_cg_history,evohdcg_hd_history,evohdcg_hdcg_history
38688,61856,100544
38966,62329,101295
39176,62828,102004
39647,63929,103576
39923,64186,104109
39097,62593,101690
38967,62492,101459
68444,121210,189654
68319,120719,189038
68385,121093,189478
69918,122912,192830
70412,124310,194722
70039,123438,193477
70006,123401,193407
69356,122199,191555
70102,123464,193566
69793,123127,192920
69478,122646,192124
69557,122413,191970
70236,124195,194431
69812,123061,192873
70251,124046,194297
69819,122646,192465
69953,123588,193541
69967,123507,193474
69986,123421,193407
69656,122758,192414
73939,131819,205758
73994,131927,205921
74399,132408,206807
73899,131838,205737
74127,131805,205932
74183,132498,206681
74042,131772,205814
74246,132502,206748
74200,132219,206419
73962,131880,205842
74279,132568,206847
73983,131567,205550
74436,132753,207189
74115,132399,206514
74326,132889,207215
74026,131963,205989
74252,132361,206613
74577,133078,207655
74185,132520,206705
74411,132870,207281
74255,132479,206734
74120,132341,206461
74437,132720,207157
74251,132128,206379
77180,138397,215577
77272,138377,215649
77260,138613,215873
77233,138815,216048
77056,138249,215305
77356,138539,215895
77342,138828,216170
77327,139224,216551
77317,138784,216101
77236,138424,215660
77164,138456,215620
77006,138551,215557
77097,138543,215640
77346,138625,215971
77016,138449,215465
77074,138111,215185
77246,138559,215805
77245,138717,215962
77398,138404,215802
77081,138801,215882
77264,138649,215913
77325,138542,215867
77084,138398,215482
77213,138571,215784
77198,138464,215662
77289,138489,215778
77434,138811,216245
77093,138557,215650
77121,138428,215549
77096,138265,215361
77015,138548,215563
77051,138284,215335
77096,138483,215579
77255,138585,215840
77109,138192,215301
77311,138641,215952
77355,138541,215896
77237,138314,215551
77224,138710,215934
77257,138416,215673
77363,138564,215927
77316,138623,215939
77376,139220,216596
77121,138449,215570
77114,138740,215854
77226,138672,215898
77238,138492,215730
77185,138651,215836
77092,138642,215734
