evohd_cg_history,evohd_hd_history,evohd_hdcg_history
76892,137492,214384
76535,137010,213545
76610,137583,214193
76797,137634,214431
76453,137265,213718
76773,137925,214698
77031,138265,215296
76788,137817,214605
76963,138045,215008
76931,137966,214897
76731,137900,214631
77075,138064,215139
76653,137694,214347
76943,138375,215318
76908,138078,214986
76633,137968,214601
76708,137930,214638
76887,137771,214658
76764,137647,214411
76805,137519,214324
76899,137965,214864
76684,137312,213996
76842,137574,214416
76989,137901,214890
76626,137728,214354
77026,138056,215082
77083,137960,215043
76808,137776,214584
76594,137840,214434
76779,137831,214610
77865,142520,220385
77863,142639,220502
77791,142465,220256
78647,142937,221584
78647,143036,221683
78560,142886,221446
78470,142939,221409
78555,143005,221560
78563,143110,221673
78580,143030,221610
78574,143050,221624
78698,142994,221692
78548,143135,221683
78531,143010,221541
78666,143143,221809
78265,143575,221840
78401,143366,221767
78325,143538,221863
78389,143509,221898
78551,143469,222020
77980,143571,221551
78398,143510,221908
78051,143504,221555
78370,143514,221884
78438,143703,222141
78196,143641,221837
78340,143616,221956
78346,143582,221928
78391,143542,221933
78475,143537,222012
78306,143686,221992
78382,143569,221951
77837,143483,221320
77923,143540,221463
77901,143731,221632
77983,143570,221553
77981,143621,221602
77765,143587,221352
77788,143571,221359
77773,143568,221341
77665,143771,221436
77709,143540,221249
77735,143618,221353
77897,143650,221547
77771,143567,221338
77665,143726,221391
77774,143593,221367
77679,143654,221333
77541,143525,221066
77556,143599,221155
77686,143415,221101
77592,143547,221139
77656,143445,221101
77653,143602,221255
77686,143521,221207
77706,143516,221222
77788,143577,221365
77571,143407,220978
77718,143673,221391
77783,143566,221349
77689,143529,221218
77642,143468,221110
77723,143592,221315
77647,143586,221233
77711,143542,221253
77640,143630,221270
77681,143543,221224
77707,143402,221109
77751,143573,221324
77594,143633,221227
