evocg_cg_history,evocg_hd_history,evocg_hdcg_history
55102,93820,148922
55705,94627,150332
55960,95247,151207
56806,96985,153791
56441,96589,153030
55866,94788,150654
56729,97100,153829
55764,94968,150732
58941,101070,160011
57939,98850,156789
66868,116890,183758
66726,117227,183953
67248,117810,185058
66920,118067,184987
66916,117548,184464
72880,133859,206739
73019,133934,206953
73037,134073,207110
76254,138693,214947
76459,139163,215622
76481,139076,215557
76425,139015,215440
76550,139078,215628
76338,138913,215251
76466,139031,215497
76450,138956,215406
76733,138950,215683
76466,139231,215697
76660,139118,215778
76521,139122,215643
76585,139161,215746
76507,138975,215482
76627,139030,215657
76707,139330,216037
76652,139335,215987
76462,138671,215133
76745,139049,215794
76554,139117,215671
76538,138927,215465
76699,138930,215629
76497,139180,215677
76628,138995,215623
76475,139119,215594
76754,139213,215967
76680,139212,215892
76660,139132,215792
76710,139216,215926
76440,139262,215702
76548,138897,215445
76528,139308,215836
76622,139113,215735
76692,139100,215792
76577,138976,215553
76628,138994,215622
76649,138909,215558
76524,138867,215391
76557,139312,215869
76665,139181,215846
76589,138983,215572
76685,139188,215873
76643,138919,215562
76553,139289,215842
76565,139117,215682
76574,139361,215935
76588,139248,215836
76572,139320,215892
76542,139117,215659
76590,138968,215558
76524,139082,215606
76613,139327,215940
76611,138847,215458
76624,139056,215680
76628,138988,215616
76607,139439,216046
76543,139142,215685
76703,139420,216123
76537,138696,215233
76434,138789,215223
76550,138830,215380
76494,138736,215230
76727,139063,215790
76721,139236,215957
76634,139134,215768
76658,139154,215812
76850,139284,216134
76724,139056,215780
76709,139299,216008
78126,142307,220433
78019,142062,220081
78299,142153,220452
78209,142185,220394
78258,142169,220427
78287,142199,220486
78302,142156,220458
78295,142262,220557
78272,142138,220410
78519,140039,218558
78705,140308,219013
78687,140041,218728
78793,139878,218671
