evohdcg_cg_history,evohdcg_hd_history,evohdcg_hdcg_history
77032,138557,215589
77268,138688,215956
77097,138827,215924
77130,138606,215736
77241,138612,215853
77526,138994,216520
77256,138617,215873
77234,138749,215983
77418,139152,216570
77288,138650,215938
77274,138970,216244
77214,138807,216021
77369,138640,216009
77299,138824,216123
77346,139160,216506
77563,139112,216675
77220,139038,216258
79571,140098,219669
79764,140359,220123
79843,140374,220217
79679,140215,219894
79620,140328,219948
79922,140238,220160
80039,139972,220011
79505,140197,219702
79706,140240,219946
79740,140172,219912
79727,140073,219800
80005,140461,220466
79716,140466,220182
79658,140052,219710
79622,139918,219540
79661,140031,219692
79945,140262,220207
79680,140009,219689
79631,140067,219698
79831,140260,220091
79941,140191,220132
79751,140139,219890
79898,140148,220046
79853,140317,220170
79943,140205,220148
79838,140349,220187
79764,140053,219817
79621,140288,219909
79912,140456,220368
79714,140256,219970
79833,140205,220038
79703,140371,220074
79977,140187,220164
79705,140317,220022
79814,140544,220358
79431,139890,219321
79912,140250,220162
79599,140013,219612
79462,140092,219554
79593,140244,219837
79656,140316,219972
79881,140377,220258
79773,140280,220053
79900,140021,219921
79952,140235,220187
79665,140260,219925
79937,140268,220205
79680,140030,219710
79820,140418,220238
79788,140380,220168
79903,140213,220116
79677,139999,219676
79783,140383,220166
79686,140142,219828
79831,140012,219843
79815,140162,219977
79141,141358,220499
79036,141305,220341
79108,141389,220497
79013,141216,220229
79201,141504,220705
79222,141398,220620
79016,141396,220412
79184,141460,220644
79368,141327,220695
79163,141186,220349
79175,141482,220657
79028,141181,220209
79247,141216,220463
79211,141467,220678
79155,141226,220381
79076,141281,220357
79269,140898,220167
79068,141273,220341
79450,140761,220211
79084,141286,220370
79039,141281,220320
79058,141356,220414
79109,141359,220468
78928,141065,219993
79068,141405,220473
79155,141301,220456
79226,140956,220182
