evohd_cg_history,evohd_hd_history,evohd_hdcg_history
76929,138677,215606
76944,139057,216001
77218,138997,216215
77087,139047,216134
77087,139108,216195
76856,138774,215630
77037,138892,215929
77315,138878,216193
77143,139053,216196
77280,139255,216535
77009,138722,215731
77020,138847,215867
77016,138903,215919
77049,139065,216114
77086,138823,215909
76792,138529,215321
77050,138612,215662
77153,139212,216365
77124,139044,216168
76994,138928,215922
77013,138796,215809
77064,139039,216103
77020,139142,216162
77070,139112,216182
77334,138980,216314
79143,139978,219121
78921,139856,218777
78876,140244,219120
77290,140099,217389
78965,140224,219189
78653,140178,218831
78713,140164,218877
78895,140327,219222
78879,140147,219026
81518,140357,221875
78931,140257,219188
81539,140418,221957
81476,140332,221808
81453,140381,221834
81611,140713,222324
81605,140495,222100
81406,141205,222611
81300,141389,222689
79901,141760,221661
80307,141945,222252
80289,142025,222314
80239,142024,222263
80099,141757,221856
80144,142036,222180
80460,141894,222354
80237,141838,222075
80356,141913,222269
77728,141996,219724
77719,142044,219763
77724,141936,219660
78589,141966,220555
77887,142130,220017
77992,142014,220006
77829,141984,219813
77777,141977,219754
77835,142079,219914
77848,142050,219898
77769,142030,219799
77781,141968,219749
78633,142203,220836
77707,142060,219767
78676,142069,220745
78526,142103,220629
79331,143165,222496
79423,143231,222654
79451,143126,222577
79296,143181,222477
79262,143186,222448
79344,142993,222337
79232,143124,222356
79437,143200,222637
79136,143047,222183
79450,143282,222732
79248,143139,222387
79360,143016,222376
79322,143065,222387
79375,143073,222448
79493,142967,222460
79566,143091,222657
79387,143154,222541
79283,143199,222482
79353,143283,222636
79391,143193,222584
79486,143287,222773
79290,143162,222452
79367,143135,222502
79293,143231,222524
79388,143263,222651
79362,143220,222582
79700,143110,222810
79217,143242,222459
79148,143177,222325
79499,143178,222677
79441,143306,222747
79387,143217,222604
