evohd_cg_history,evohd_hd_history,evohd_hdcg_history
73146,133201,206347
73383,133738,207121
73786,133632,207418
73320,133521,206841
73892,134216,208108
73628,133800,207428
73765,133891,207656
73489,133623,207112
73524,133697,207221
73687,133882,207569
73803,133860,207663
73879,134245,208124
73721,133979,207700
73746,133844,207590
73678,133966,207644
73749,134004,207753
73968,133942,207910
73482,133752,207234
73684,133825,207509
73634,134077,207711
73908,133869,207777
73715,133611,207326
73537,133681,207218
73612,133694,207306
78172,142614,220786
78336,142513,220849
78011,142659,220670
78115,142597,220712
77975,142760,220735
77963,142607,220570
78017,142514,220531
78104,142544,220648
77996,142618,220614
78121,142636,220757
78154,142660,220814
77992,142624,220616
77958,142682,220640
78228,142459,220687
78213,142546,220759
78132,142582,220714
78028,142486,220514
77997,142621,220618
78223,142720,220943
77950,142688,220638
78092,142602,220694
78116,142568,220684
78194,142589,220783
77971,142557,220528
78091,142655,220746
78020,142596,220616
78094,142812,220906
77718,143027,220745
77615,142941,220556
77574,143292,220866
77560,143213,220773
77881,143037,220918
77607,143029,220636
77706,143361,221067
77741,143134,220875
77800,143044,220844
77612,143108,220720
77628,143105,220733
77508,143139,220647
77729,143219,220948
77593,143057,220650
77599,143095,220694
77530,143015,220545
77653,143113,220766
77589,143146,220735
77678,143106,220784
77580,143064,220644
77507,143157,220664
77646,143101,220747
77754,143210,220964
77762,143198,220960
77636,143223,220859
77695,143119,220814
77522,143124,220646
77564,143191,220755
77739,143190,220929
77594,143257,220851
77622,143144,220766
77634,143176,220810
77834,143136,220970
77537,143127,220664
77671,143173,220844
77627,143131,220758
77484,143029,220513
77788,143260,221048
77535,143257,220792
77647,143104,220751
77632,143222,220854
77693,143028,220721
77626,143098,220724
77760,143148,220908
77650,143303,220953
77725,143172,220897
77644,143115,220759
77695,143208,220903
77592,143170,220762
