evohdcg_cg_history,evohdcg_hd_history,evohdcg_hdcg_history
69551,122074,191625
75287,139549,214836
75393,139524,214917
77031,138416,215447
75646,140047,215693
77118,138166,215284
77434,138994,216428
75570,140007,215577
77128,138179,215307
77071,138182,215253
76983,138457,215440
77249,138704,215953
77207,138374,215581
77201,138748,215949
77122,138492,215614
77138,138817,215955
77130,138396,215526
77067,138396,215463
77240,138256,215496
77215,138386,215601
77266,138873,216139
77251,138666,215917
77030,138326,215356
77155,138727,215882
77136,138616,215752
77337,138784,216121
77343,138571,215914
77147,138559,215706
77360,138495,215855
77127,138610,215737
77366,138642,216008
77201,138710,215911
77178,138563,215741
77337,139046,216383
77199,138706,215905
77204,138541,215745
77082,138428,215510
77048,138482,215530
77042,138533,215575
77243,138648,215891
77203,138827,216030
77278,138981,216259
77297,138757,216054
77173,138594,215767
77223,138245,215468
77039,138551,215590
77053,138504,215557
77179,138928,216107
77021,138623,215644
77117,138588,215705
77128,138559,215687
77273,138552,215825
77307,138761,216068
76996,138297,215293
76944,138746,215690
77280,138743,216023
77278,138706,215984
77154,138634,215788
77051,138591,215642
77052,138575,215627
77229,138519,215748
77055,138321,215376
77156,138506,215662
77270,138442,215712
77143,138461,215604
77207,138514,215721
76948,138493,215441
77059,138360,215419
77081,138654,215735
77344,138588,215932
77372,138439,215811
77120,138473,215593
77301,138704,216005
77146,138601,215747
77201,138638,215839
77140,138477,215617
77304,138653,215957
77171,138342,215513
77424,138769,216193
77498,138870,216368
77313,138545,215858
79467,140484,219951
79385,140442,219827
79497,140464,219961
79303,140255,219558
79333,140658,219991
79365,140618,219983
79449,140524,219973
79587,140500,220087
79344,140430,219774
79426,140331,219757
79471,140616,220087
79382,140257,219639
79197,140736,219933
79631,140710,220341
79461,140439,219900
79344,140707,220051
79191,140502,219693
79557,140451,220008
79488,140598,220086
