evohd_cg_history,evohd_hd_history,evohd_hdcg_history
61343,102218,163561
61649,102477,164126
61798,102593,164391
72837,116472,189309
76902,122938,199840
77003,122903,199906
77000,123139,200139
76428,136915,213343
76254,136544,212798
76271,136869,213140
76317,136997,213314
76352,137086,213438
76373,137338,213711
76184,137482,213666
76641,137316,213957
76389,136858,213247
76460,137678,214138
76618,137178,213796
76282,137163,213445
76507,137571,214078
76396,137428,213824
76548,137186,213734
76427,137403,213830
76059,137087,213146
76146,137501,213647
76795,138000,214795
76089,137382,213471
76122,137254,213376
76520,138507,215027
76374,137844,214218
76477,137818,214295
76366,137902,214268
76165,137384,213549
76217,137521,213738
76397,137895,214292
76400,137957,214357
75220,138787,214007
75136,139061,214197
75174,138964,214138
75337,138991,214328
75218,138779,213997
75598,139609,215207
75277,139245,214522
75626,139372,214998
77089,142286,219375
77060,142058,219118
77251,142121,219372
77146,142216,219362
77148,142222,219370
77202,142226,219428
77153,142116,219269
77072,142186,219258
77377,142479,219856
77303,142504,219807
77548,142700,220248
77472,142550,220022
77332,142778,220110
77456,142593,220049
77409,142717,220126
77421,142551,219972
77519,142717,220236
77381,142865,220246
77429,142642,220071
77326,142519,219845
77422,142622,220044
77474,142622,220096
77351,142519,219870
77482,142701,220183
77536,142582,220118
77268,142588,219856
77425,142380,219805
77341,142653,219994
77483,142612,220095
77379,142630,220009
77265,142606,219871
77449,142728,220177
77367,142580,219947
77484,142749,220233
77460,142584,220044
77490,142717,220207
77172,142826,219998
77450,142840,220290
77537,142704,220241
77401,142756,220157
77518,142784,220302
77307,142848,220155
77472,142706,220178
77460,142722,220182
77559,142846,220405
77357,142719,220076
77441,142684,220125
77548,142766,220314
77280,142838,220118
77484,142666,220150
77384,142721,220105
77612,142820,220432
77412,142605,220017
77341,142655,219996
77607,142760,220367
77425,142754,220179
